"bird_tag","feeding_freq","BIRD_ID","cort_orig","cort_ind","barl_orig","barl_ind","sex","age","fdens_orig","fdens_ind"
"0700ED86D1",18.5892857142857,"59V39164",NA,NA,12.048404888,NA,"m","AD",NA,NA
"0700ED86F4",17.875,"59V39771",NA,NA,14.6892331,NA,"m","1Y",NA,NA
"0700ED872E",8.48780487804878,"59V39763",0.057658341989932,0.027548719609983,15.185675325,9.9693114895,"f","AD",0.000115334433208983,0.000115550142865602
"0700ED8779",13.5344827586207,"11024489",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700ED88B0",24.7931034482759,"12126375",NA,NA,NA,NA,"f","1Y",NA,NA
"0700ED8AC1",1.5,"12126126",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED8B63",35,"59V39746",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED8BA8",26.7647058823529,"59V39409",NA,NA,NA,NA,"f","1Y",NA,NA
"0700ED8C0C",16.9411764705882,"59V39002",NA,NA,NA,NA,"f","AD",NA,NA
"0700ED8C9F",NA,"12126269",NA,NA,NA,NA,"f","AD",NA,NA
"0700ED8CD7",20.1379310344828,"59V39199",0.024311351707025,0.062992102686656,14.38018461,11.09587222,"f","AD",0.000118344535137595,0.00011428348383176
"0700ED8F16",2,"59V39134",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED9040",19.1315789473684,"59V39998",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED90DC",16.4363636363636,"12126363",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED9126",8.46428571428571,"59V39166",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED9147",9.68421052631579,"12126370",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED91C4",18.1071428571429,"59V39195",NA,NA,NA,NA,"f","1Y",NA,NA
"0700ED91F3",3,"14157519",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED92EF",19.952380952381,"59V39837",0.00623268346374,0.096615774499,14.246511735,11.12636459,"f","1Y",0.000108181131754209,0.000108508993868578
"0700ED9433",5,"12126397",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED94AA",NA,"58V92957",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED957D",23.1190476190476,"59V39181",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED96E3",18.4347826086957,"59V39008",0.022817664622017,0.014826545190277,14.6520914,11.7775982,"f","AD",0.00011505825393605,0.000117759241947665
"0700ED9728",1,"59V39157",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED972F",12.5576923076923,"59V39831",0.003231246983443,1.47304035973401,15.393592595,12.4888288,"m","1Y",0.000124452261097372,0.000123696603035893
"0700ED9731",18.75,"12126355",NA,NA,NA,NA,"m","1Y",NA,NA
"0700ED9823",11.5238095238095,"59V39773",NA,NA,15.18774451,NA,"f","1Y",NA,NA
"0700ED9900",10,"12126124",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED996B",1,"12126101",NA,NA,NA,NA,"f",NA,NA,NA
"0700ED9995",5.10526315789474,"58V92476",NA,NA,NA,NA,"f","1Y",NA,NA
"0700ED9A89",4.64583333333333,"14157320",NA,NA,NA,NA,"f","AD",NA,NA
"0700ED9C52",18.9512195121951,"58V92955",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED9D64",6.63888888888889,"12126360",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700ED9D9A",3.4,"59V39767",NA,NA,14.16850884,NA,"m","1Y",NA,NA
"0700ED9DB4",8,"59V39857",NA,NA,NA,NA,"m","AD",NA,NA
"0700ED9DC6",22,"59V39774",NA,NA,14.230241445,NA,"f","1Y",NA,NA
"0700EDA030",8.25,"59V39529",NA,NA,14.70386964,11.933560855,"f","1Y",0.000105733697916507,0.000107010663684257
"0700EDA05D",31.0545454545455,"59V39868",NA,NA,14.392805985,9.491852759,"f","1Y",0.000113578804978622,0.000103334758224926
"0700EDA092",NA,"59V39144",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDA0D5",18.5952380952381,"59V39759",0.027118764778904,0.007102558940473,14.464996545,11.46650707,"m","1Y",0.000113619295209191,0.000117566641804539
"0700EDA218",14,"12126372",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDA584",11.2181818181818,"59V39119",NA,NA,12.300656675,NA,"f","AD",NA,NA
"0700EDA69D",16.9333333333333,"59V39761",NA,NA,14.805156795,NA,"f","1Y",NA,NA
"0700EDA701",24.9107142857143,"59V39145",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDA75A",23.551724137931,"59V39171",NA,NA,13.937455865,NA,"m","AD",NA,NA
"0700EDA801",18.2407407407407,"14157515",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDA87F",NA,"14157613",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDA8D7",23.8888888888889,"59V39122",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDA916",21.5740740740741,"14157305",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDA93F",18.3050847457627,"14157552",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700EDA980",16.1636363636364,"59V39172",NA,NA,14.052353065,NA,"m","AD",NA,NA
"0700EDAA0F",NA,"58V92954",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDAA73",15.5084745762712,"14157517",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDAAC3",30.5,"59V39443",NA,NA,11.714756605,NA,"m","1Y",NA,NA
"0700EDABAF",18.96,"59V39776",NA,NA,13.895126975,NA,"m","1Y",0.000117729802537175,NA
"0700EDABFE",6.55,"14157508",NA,NA,NA,NA,NA,"AD",NA,NA
"0700EDAC10",18.2972972972973,"59V39177",NA,NA,14.76312786,NA,"f","AD",NA,NA
"0700EDAC8D",18.0416666666667,"59V39185",NA,NA,14.3168763,10.66911374,"f","AD",0.000114076326743523,0.000109154042505611
"0700EDACBF",NA,"60V36769",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDAD89",7.25581395348837,"14157312",NA,NA,NA,NA,"f","AD",NA,NA
"0700EDADC3",16.5,"57V84711",NA,NA,12.202599835,NA,"f","AD",0.000121788071320722,NA
"0700EDAE6F",4.66666666666667,"59V39854",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDB0E8",1,"59V39999",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDB0F1",NA,"59V39196",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDB1D4",18.4285714285714,"59V39856",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDB21D",18.1071428571429,"14157475",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDB2B0",6.07142857142857,"12126366",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDB2F0",8.15625,"59V39446",0.019474935060389,0.034238884435222,14.33168727,11.13901988,"f","1Y",0.000106715940203428,0.000102118780482301
"0700EDB2F7",33.1724137931034,"59V39408",NA,NA,14.758256845,NA,"f","1Y",NA,NA
"0700EDB32D",6.6,"59V39009",0.003019191387746,0.058014195373284,13.9476936,11.77240818,"m","AD",0.000117316833916352,0.000121568233020916
"0700EDB4A3",4.6,"59V39757",0.051739424869988,0.857733640809853,15.9817875,12.53742354,"f","1Y",0.00010853871307931,0.000105647845713727
"0700EDB576",5.28571428571429,"12126369",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDB5F4",25.3921568627451,"59V39751",0.010314263267149,0.065122390153423,13.87472225,10.60191457,"f","1Y",0.00011373801090729,0.000116890059829703
"0700EDB8E1",22.8095238095238,"12126385",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDBA40",17.7777777777778,"59V39781",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDBAF4",22.7142857142857,"59V39211",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDBB36",3,"58V92658",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDBC2D",11.0555555555556,"14157574",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDBD04",NA,"59V39113",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDBD3C",3.08333333333333,"14157518",NA,NA,NA,NA,"f","AD",NA,NA
"0700EDBD41",11.0566037735849,"14157310",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDBE65",24.6481481481481,"59V39203",0.018817873841148,0.078961070527418,12.842816275,12.11369623,"f","AD",0.00010168588004113,0.000107226414516149
"0700EDC066",29.375,"59V39775",NA,NA,13.85663244,NA,"f","1Y",NA,NA
"0700EDC181",12,"59V39227",NA,NA,14.76951278,NA,"m","1Y",NA,NA
"0700EDC250",3,"12126358",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDC274",13.4782608695652,"11024412",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDC294",2,"14157528",NA,NA,NA,NA,NA,"1Y",NA,NA
"0700EDC4CF",32.3076923076923,"59V39861",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDC540",15.5,"59V39852",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDC565",21.9285714285714,"58V92956",NA,NA,14.975977375,NA,NA,NA,0.000117687881484727,NA
"0700EDC5A2",39.08,"59V39191",NA,NA,NA,NA,"f","AD",NA,NA
"0700EDC5BF",24.0681818181818,"59V39745",NA,NA,NA,NA,"f","AD",NA,NA
"0700EDC70D",14,"12126140",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDCA33",NA,"58V92648",NA,NA,NA,NA,"f","AD",NA,NA
"0700EDCC32",NA,"59V39286",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDCD93",19.6666666666667,"59V39232",NA,NA,15.20999224,12.334588285,"m","1Y",0.000118847853066146,0.000114577003039386
"0700EDCE67",18.2,"59V39241",NA,NA,15.01953367,NA,"f","1Y",NA,NA
"0700EDCEC1",25.1754385964912,"59V39862",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDCFAD",24,"59V39056",NA,NA,14.309598885,10.71520019,"f","1Y",0.000106140355938136,NA
"0700EDD02F",14.6428571428571,"14157503",NA,NA,NA,NA,"m","AD",NA,NA
"0700EDD270",NA,"12126378",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDD2D1",21.8444444444444,"59V39580",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDD410",NA,"12126408",NA,NA,NA,NA,"f","AD",NA,NA
"0700EDD4EC",8.4375,"12126399",NA,NA,NA,NA,"f","1Y",NA,NA
"0700EDD569",12.8727272727273,"59V39860",0.035660334149859,0.080056531808124,15.51896757,12.88809918,"m","AD",0.000123525455914981,0.000116893151734638
"0700EDD65E",3.3,"59V39480",NA,NA,14.539421745,NA,"m","AD",NA,NA
"0700EDD6C9",20,"59V39867",NA,NA,14.71787402,NA,"m","1Y",NA,NA
"0700EDD730",19.6666666666667,"59V39587",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDD8A0",5.33333333333333,"12126359",NA,NA,NA,NA,"m","1Y",NA,NA
"0700EDD8B5",7.54166666666667,"14157566",NA,NA,NA,NA,"m","AD",NA,NA
